ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-01-09,2049.254509983726,1668.9966601493966,2575.5679681048982,2049.254509983726,2049.254509983726,76.49658472137239,76.49658472137239,76.49658472137239,76.49658472137239,76.49658472137239,76.49658472137239,0.0,0.0,0.0,2125.7510947050987
2024-01-10,2046.7369955895153,1664.1383089162377,2580.6773553294947,2046.7369955895153,2046.7369955895153,84.89416100517931,84.89416100517931,84.89416100517931,84.89416100517931,84.89416100517931,84.89416100517931,0.0,0.0,0.0,2131.631156594695
2024-01-11,2043.6360899579533,1527.5924845205443,2371.817664005655,2043.6360899579533,2043.6360899579533,-79.75898537627793,-79.75898537627793,-79.75898537627793,-79.75898537627793,-79.75898537627793,-79.75898537627793,0.0,0.0,0.0,1963.8771045816754
2024-01-12,2040.535184326391,1568.0855674451238,2435.2935653862264,2040.535184326391,2040.535184326391,-69.99523354352851,-69.99523354352851,-69.99523354352851,-69.99523354352851,-69.99523354352851,-69.99523354352851,0.0,0.0,0.0,1970.5399507828624
2024-01-13,2037.434278694829,1627.6014340491083,2504.0647243012754,2037.434278694829,2037.434278694829,10.242979031057626,10.242979031057626,10.242979031057626,10.242979031057626,10.242979031057626,10.242979031057626,0.0,0.0,0.0,2047.6772577258864
2024-01-14,2034.333373063267,1764.7932391795302,2606.502985357606,2034.333373063267,2034.333373063267,168.27080175504682,168.27080175504682,168.27080175504682,168.27080175504682,168.27080175504682,168.27080175504682,0.0,0.0,0.0,2202.604174818314
2024-01-15,2031.232467431705,1400.2554122746358,2280.159877593596,2031.232467431705,2031.232467431705,-190.15030759351154,-190.15030759351154,-190.15030759351154,-190.15030759351154,-190.15030759351154,-190.15030759351154,0.0,0.0,0.0,1841.0821598381933
2024-01-16,2028.0680405716275,1667.6469573055613,2553.146428558589,2028.0680405716275,2028.0680405716275,76.49658472141508,76.49658472141508,76.49658472141508,76.49658472141508,76.49658472141508,76.49658472141508,0.0,0.0,0.0,2104.564625293043
2024-01-17,2024.90361371155,1676.0079985859668,2559.4775868130723,2024.90361371155,2024.90361371155,84.89416100462782,84.89416100462782,84.89416100462782,84.89416100462782,84.89416100462782,84.89416100462782,0.0,0.0,0.0,2109.7977747161776
2024-01-18,2021.7391868514728,1499.3839197580544,2370.788962138753,2021.7391868514728,2021.7391868514728,-79.75898537659363,-79.75898537659363,-79.75898537659363,-79.75898537659363,-79.75898537659363,-79.75898537659363,0.0,0.0,0.0,1941.980201474879
2024-01-19,2018.5747599913955,1516.0450132443686,2334.202054470922,2018.5747599913955,2018.5747599913955,-69.99523354388293,-69.99523354388293,-69.99523354388293,-69.99523354388293,-69.99523354388293,-69.99523354388293,0.0,0.0,0.0,1948.5795264475125
2024-01-20,2015.410333131318,1560.0992336675363,2421.1651388282385,2015.410333131318,2015.410333131318,10.242979031094146,10.242979031094146,10.242979031094146,10.242979031094146,10.242979031094146,10.242979031094146,0.0,0.0,0.0,2025.6533121624122
2024-01-21,2012.1559506606739,1706.3866212277185,2636.616879477166,2012.1559506606739,2012.1559506606739,168.27080175501587,168.27080175501587,168.27080175501587,168.27080175501587,168.27080175501587,168.27080175501587,0.0,0.0,0.0,2180.42675241569
